count,date,title,description,org_link,link
243,2023-11-08 15:41:00,"원티드랩, '디지털 헬스케어 산업 전용관' 운영","개발 직군에서는 AI 엔지니어, 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 국·내외 영업 담당자, 브랜딩 디자이너, 퍼포먼스 마케터, IR 담당자, 인사 담당자... ",https://www.etnews.com/20231108000318,https://n.news.naver.com/mnews/article/030/0003154513?sid=101
244,2023-11-08 15:28:00,"원티드랩, '디지털 헬스케어 산업 전용관' 운영","개발 직군에서는 AI 엔지니어, 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 국·내외 영업 담당자, 브랜딩 디자이너, 퍼포먼스 마케터, IR(기업설명) 담당자... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1783450,http://www.shinailbo.co.kr/news/articleView.html?idxno=1783450
245,2023-11-08 14:04:00,"원티드랩, ‘디지털 헬스케어 산업 전용관’ 운영","개발 직군에서는 AI 엔지니어, 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 국⋅내외 영업 담당자, 브랜딩 디자이너, 퍼포먼스 마케터, IR 담당자, 인사 담당자... ",https://zdnet.co.kr/view/?no=20231108140028,https://n.news.naver.com/mnews/article/092/0002310684?sid=105
246,2023-11-08 11:01:00,"원티드랩, ‘디지털 헬스케어 산업 전용관’ 운영…직군별 160여 개 공고 오픈",개발 직군에서는 △AI 엔지니어 △프론트엔드 및 백엔드 개발자 △시스템 엔지니어 △<b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 △국·내외 영업 담당자 △브랜딩 디자이너 △퍼포먼스 마케터 △IR 담당자... ,https://www.sportsseoul.com/news/read/1368020?ref=naver,https://n.news.naver.com/mnews/article/468/0000999427?sid=101
247,2023-11-07 15:54:00,"성황리 열린 AISEC 2023 “AI와 보안, 상호보완하며 시장 확대”",Seema <b>데이터 사이언티스트</b>의 '항공분야의 AI 보안 적용사례 및 니즈'를 주제로 한 발표가 진행됐다. 실무자의 역량 제고를 위한 세션B에서는 데이터브릭스 Evion Kim 스탭 소프트웨어 엔지니어의 '대언어모델 학습 및... ,https://www.hellot.net/news/article.html?no=83767,https://www.hellot.net/news/article.html?no=83767
248,2023-11-06 19:30:00,&quot;농식품 청년 창업가 육성&quot;…오는 14일 'NHarvest X' 데모데이,"지난 7월부터 액셀러레이팅을 진행 중이며 의사, 청년농, 대기업 출신 <b>데이터사이언티스트</b> 등 다양한 배경을 가진 창업자들이 참여하고 있다. 이번 데모데이는 IR(투자유치를 위한 기업소개) 세션과 벤처캐피탈(VC)... ",http://news.mt.co.kr/mtview.php?no=2023110610432662309,https://n.news.naver.com/mnews/article/008/0004958321?sid=101
249,2023-11-06 12:51:00,"소풍벤처스, ‘엔하베스트엑스’ 데모데이 개최","NHarvest X에는 의사, 청년농, 대기업 출신 <b>데이터사이언티스트</b> 등 다양한 배경을 가진 창업자들이 참여하고 있다. 데모데이에서 우수 기업으로 선정된 세 팀에게는 총 8,000만원의 시상금을 지급할 예정이다. 이날... ",https://www.venturesquare.net/901849,https://www.venturesquare.net/901849
250,2023-11-06 10:13:00,공교육 대전환으로 ‘100만 디지털 인재’ 양성[창간 32주년 특집],"특히 <b>데이터 사이언티스트</b>·엔지니어 같은 현장 인력 부문에선 20위를 기록해 종합순위와의 격차가 두드러졌다. 2022 AI산업 실태조사 결과에 따르면 지난해 한국의 AI 부족 인력은 7841명으로 2020년(1609명), 2021년(3726명)에... ",https://www.munhwa.com/news/view.html?no=2023110601031321172001,https://n.news.naver.com/mnews/article/021/0002603329?sid=102
251,2023-11-06 08:12:00,"소풍벤처스, 농식품 청년창업가 육성하는 NHarvest X 데모데이 개최","NHarvest X에는 의사, 청년농, 대기업 출신 <b>데이터사이언티스트</b> 등 다양한 배경을 가진 창업자들이 참여하고 있다. 데모데이에서 우수 기업으로 선정된 세 팀에게는 총 8,000만원의 시상금을 지급할 예정이다. 이날... ",https://platum.kr/archives/216525,https://platum.kr/archives/216525
252,2023-11-05 09:15:00,달의 재료가 된 행성…지구 역사 뒤흔든 ‘충돌’ 잔재 어디에,지진 <b>데이터</b>는 초음파 사진과 같아서 구조물의 흐릿한 얼개만 보여줄 뿐이기 때문이다. 너무나 깊숙한 곳에... 위안 박사는 ‘뉴<b>사이언티스트</b>’에 “달을 만든 이 거대한 충돌은 지구가 다른 암석 행성과 구분하는 가장... ,https://www.hani.co.kr/arti/science/science_general/1114936.html,https://n.news.naver.com/mnews/article/028/0002663160?sid=105
253,2023-11-04 19:32:00,"[11월1주] 대기업까지 Ko-LLM 경쟁 합류...롯데정보통신, 자체 <b>데이터</b>로 실력...","김 연구원은 LG 디스플레이 리서치, 컴퓨터 비전 연구원, 현대카드 <b>데이터 사이언티스트</b>를 거쳐 현재 AWS AI/ML 스페셜리스트 솔루션 아키텍트로 재직 중이다. 링크드인을 통해 상세한 개발 과정과 소감 등을 밝혀... ",https://www.aitimes.com/news/articleView.html?idxno=154927,https://www.aitimes.com/news/articleView.html?idxno=154927
254,2023-11-03 16:46:00,"원티드랩, '고용노동부 선정' 일자리 으뜸기업 전용관 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",http://www.econonews.co.kr/news/articleView.html?idxno=311054,http://www.econonews.co.kr/news/articleView.html?idxno=311054
255,2023-11-03 03:52:00,"원티드랩, ‘2023 대한민국 일자리 으뜸기업 전용관’ 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202311030351003&sec_id=561101&pt=nv,https://n.news.naver.com/mnews/article/144/0000922766?sid=105
256,2023-11-02 18:26:00,"[IT이슈] “나는 갓생러!”, 직장인 10명 중 8명 본업 외 자기 계발한다 外","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",http://www.lawissue.co.kr/view.php?ud=202311021823005799204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202311021823005799204ead0791_12
257,2023-11-02 18:07:00,"원티드랩, ‘2023 대한민국 일자리 으뜸기업 전용관’ 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",https://zdnet.co.kr/view/?no=20231102180358,https://n.news.naver.com/mnews/article/092/0002310104?sid=105
258,2023-11-02 16:15:00,"“정부 인증 일자리 인재 모집” 원티드랩, ‘2023 대한민국 일자리 으뜸기업...",개발 직군에서는 △프론트엔드 및 백엔드 개발자 △시스템 엔지니어 △<b>데이터 사이언티스트</b> 등을 채용한다. 경영·기획 직군에서는 △서비스 기획자(PO) △사업기획 담당자 △세일즈 매니저 등을 모집한다. 디자인... ,https://www.sportsseoul.com/news/read/1365825?ref=naver,https://n.news.naver.com/mnews/article/468/0000997230?sid=101
259,2023-11-02 15:12:00,"원티드랩, ‘2023 대한민국 일자리 으뜸기업 전용관’ 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",https://magazine.hankyung.com/job-joy/article/202311028244d,https://magazine.hankyung.com/job-joy/article/202311028244d
260,2023-11-02 12:01:00,"원티드랩, ‘2023 대한민국 일자리 으뜸기업 전용관’ 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",https://www.sedaily.com/NewsView/29X2W5NGCU,https://n.news.naver.com/mnews/article/011/0004256698?sid=101
261,2023-11-02 10:10:00,"원티드랩, '고용부 선정' 일자리 으뜸기업 전용관 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용하며, 경영⋅기획 직군에서는 서비스 기획자(PO), 사업기획 담당자, 세일즈 매니저 등을 모집한다. 디자인 직군에서는 UI... ",http://www.newsis.com/view/?id=NISX20231102_0002506267&cID=10433&pID=13000,https://n.news.naver.com/mnews/article/003/0012183902?sid=101
262,2023-11-02 09:31:00,"원티드랩, '대한민국 일자리 으뜸기업 전용관' 운영","개발 직군에서는 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 디자인 직군에서는 UI/UX 디자이너, 프로덕트 디자이너, 커머스 오프라인 디자이너 등을 채용한다. 이외 마케팅... ",https://www.ddaily.co.kr/page/view/2023110209280972641,https://n.news.naver.com/mnews/article/138/0002159906?sid=105
263,2023-11-01 20:18:00,"'클럽베가스' 띄운 베이글코드, 채용연계형 인턴 모집","개발 직군은 게임 클라이언트와 웹 프론트엔드, 백엔드, 데이터 엔지니어, <b>데이터 사이언티스트</b> 부문을 포함한다. 비개발 직군에서는 사업 프로젝트매니저(PM)와 데이터분석가(BA), UA 크리에이티브 프로듀서 등이 있다.... ",https://www.sportsworldi.com/newsView/20231101518792,https://n.news.naver.com/mnews/article/396/0000659212?sid=105
264,2023-11-01 17:19:00,핀다 &quot;전용 챗GPT로 고객 경험 혁신&quot;,이날 발표 연사로 참여한 서희 핀다 CTO는 &quot;기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;며 &quot;불필요한 협업 비용을 줄이고 고객 서비스 품질을... ,https://biz.sbs.co.kr/article_hub/20000142144?division=NAVER,https://n.news.naver.com/mnews/article/374/0000356981?sid=101
265,2023-11-01 15:06:00,[기획] 글로벌 AI산업 초격차… 소외되는 대한민국,"<b>데이터 사이언티스트</b> 및 엔지니어 수는 20위를 차지해 특히 데이터분석 관련 인재가 부족한 상태다. 과학기술정보통신부·소프트웨어정책연구소가 조사한 '2022 인공지능산업 실태조사'에 의하면, 국내에서 부족한 AI... ",http://www.m-i.kr/news/articleView.html?idxno=1062197,http://www.m-i.kr/news/articleView.html?idxno=1062197
266,2023-11-01 14:44:00,"핀다, 마이크로소프트와 손잡고 챗GPT로 고객 경험 혁신",이날 발표 연사로 참여한 서희 핀다 CTO는 “기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다”며 “불필요한 협업 비용을 줄이고 고객 서비스 품질을... ,https://www.hankyung.com/article/202311014997i,https://n.news.naver.com/mnews/article/015/0004909096?sid=101
267,2023-11-01 14:26:00,핀다 &quot;MS와 협업한 핀다GPT로 외부 고객 목소리까지 경청&quot;,이날 발표 연사로 참여한 서희 핀다 최고기술책임자(CTO)는 “기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;면서 “불필요한 협업 비용을 줄이고... ,http://www.fnnews.com/news/202311011228327306,https://n.news.naver.com/mnews/article/014/0005094486?sid=101
268,2023-11-01 11:16:00,"뱅크샐러드, 맞춤형 보험분석서비스…핀다-MS '핀다GPT' 도입 [핀테크오늘]",발표 연사로 나선 핀다 서희 CTO는 &quot;기존에 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;며 &quot;불필요한 협업 비용을 줄이고 고객 서비스 품질을 끌어올렸다는 데서... ,http://www.sisaon.co.kr/news/articleView.html?idxno=155150,http://www.sisaon.co.kr/news/articleView.html?idxno=155150
269,2023-11-01 11:02:00,"핀다, 마이크로소프트와 손잡고 '핀다GPT' 도입",서희 핀다 CTO는 &quot;기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;라며 &quot;불필요한 협업 비용을 줄이고 고객 서비스 품질을 끌어올렸다는 데서 그치지... ,https://www.upinews.kr/newsView/1065578031846377,https://www.upinews.kr/newsView/1065578031846377
270,2023-11-01 10:52:00,핀다 “마이크로소프트와 ‘챗GPT’로 고객경험 혁신”,"이날 발표 연사로 참여한 서희 핀다 CTO는 “기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;라며, “불필요한 협업 비용을 줄이고 고객 서비스 품질을... ",http://digitalchosun.dizzo.com/site/data/html_dir/2023/11/01/2023110180081.html,http://digitalchosun.dizzo.com/site/data/html_dir/2023/11/01/2023110180081.html
271,2023-11-01 10:11:00,"핀다, 마이크로소프트와 손잡고 챗GPT로 고객경험 혁신한다",이날 발표 연사로 참여한 서희 핀다 최고기술책임자(CTO)는 “기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다”며 “불필요한 협업 비용을 줄이고... ,https://economist.co.kr/article/view/ecn202311010013,https://n.news.naver.com/mnews/article/243/0000052177?sid=101
272,2023-11-01 10:02:00,프로스포츠산업이 가야하는 길 [스잡알 포럼],"지난 3월에는 잉글랜드 크리스탈 팰리스, 찰턴FC 등에서 전력분석관을 지낸 김종원 비프로 <b>데이터 사이언티스트</b>가 연사로 나선 바 있다. 양측은 스포츠산업 취업시장에서 주목받는 주요 직업군과 기업, 구단, 연맹‧협회... ",http://www.sportsq.co.kr/news/articleView.html?idxno=458393,http://www.sportsq.co.kr/news/articleView.html?idxno=458393
273,2023-11-01 09:52:00,"핀다, 마이크로소프트와 챗GPT 통해 고객경험 혁신",이날 발표 연사로 참여한 핀다 서희 CTO(최고기술책임자)는 &quot;기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;라며 &quot;불필요한 협업 비용을 줄이고... ,http://www.goodkyung.com/news/articleView.html?idxno=220393,http://www.goodkyung.com/news/articleView.html?idxno=220393
274,2023-11-01 09:35:00,"핀다, MS 애저 오픈 AI로 '핀다GPT' 도입…&quot;고객 서비스 혁신&quot;",서희 핀다 최고기술책임자(CTO)는 &quot;기존에는 고객 응대 콘텐츠를 개발하려면 고객 데이터를 <b>데이터 사이언티스트</b>가 일일이 가공하고 분석해야 했다&quot;며 &quot;불필요한 협업 비용을 줄이고 고객 서비스 품질을 끌어올렸다는... ,https://www.news1.kr/articles/5217194,https://n.news.naver.com/mnews/article/421/0007146382?sid=101
